Length,Freq
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0.085547646
20,0.042980529
21,0.05014395
22,0.050921218
23,0.044843524
24,0.088809625
25,0.133700156
26,0.749760083
27,1.312183518
28,2.518399635
29,2.216823061
30,3.251340489
31,2.149848035
32,1.840716639
33,1.29610087
34,1.321295904
35,0.502092443
36,0
37,0.582924663
38,0.681151609
39,2.685214256
40,4.935055331
41,3.331518103
42,2.766487756
43,4.278822042
44,1.900736419
45,0.676657093
46,1.888078996
47,2.214410729
48,1.348203634
49,1.653316162
50,1.941841946
51,0.660145558
52,1.107831131
53,0.317478043
54,0.042077006
55,0.516472128
56,0.253504447
57,0
58,0.036887504
59,0.243396614
60,0.113322516
61,0
62,0.009316362
63,0.038206147
64,0.006742044
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
